KPid,Type,NameFilm,Year,Countries,Genres,ratingKP,ratingImdb,ratingMpaa,ratingAgeLimits,Description,WebUrl,WebUrl2,PosterUrl
298,FILM,Люди Икс 2,2003.0,"['США', 'Канада']","['триллер', 'фантастика', 'боевик']",7.6,7.4,pg13,age12,"Мутанты продолжают борьбу против общества, которое страшит их, и которому они не доверяют. Их положение становится еще более отчаянным, когда они подвергаются мощной атаке неизвестного противника, обладающего экстраординарными способностями. 

Внезапное нападение снова становится причиной политического и общественного резонанса по поводу введения повсеместной регистрации мутантов и причиной образования движения против мутантов, возглавляемого Уильямом Страйкером, бывшим военным, который, по слухам, проводил опыты над мутантами.",https://w4.kpfr.wiki/film/298/,https://www.kinopoisk.ru/film/298/,https://kinopoiskapiunofficial.tech/images/posters/kp/298.jpg
299,FILM,Матрица: Перезагрузка,2003.0,['США'],"['фантастика', 'боевик']",7.7,7.2,r,age18,"Борцы за свободу Нео, Тринити и Морфеус продолжают руководить восстанием людей против армии машин. Они вынуждены использовать не только арсенал превосходного оружия, но и свои выдающиеся навыки. Участие в миссии по спасению человеческой расы от истребления приносит им более глубокое понимание Матрицы и осознание центральной роли Нео в судьбе человечества.",https://w4.kpfr.wiki/film/299/,https://www.kinopoisk.ru/film/299/,https://kinopoiskapiunofficial.tech/images/posters/kp/299.jpg
300,FILM,Лиззи Магуайр,2003.0,['США'],"['мелодрама', 'приключения', 'комедия', 'музыка', 'семейный']",6.3,5.5,pg,age12,"Тринадцатилетняя школьница Лиззи Магуайер и ее приятели Гордо, Кейт и Эсан собираются оттянуться по полной программе во время их поездки с классом в Италию.

Но там случается весьма неожиданное происшествие: девочку ошибочно принимают за итальянскую поп-звезду Изабеллу, да к тому же девушка влюбляется в бывшего дружка Изабеллы Паоло. Когда родители Лизи обо всем узнают, они вместе с ее братом Мэттом срочно вылетают в Италию.

Но Лиззи уже не та закомплексованная девочка-подросток, кем была раньше, она до такой степени вжилась в роль певицы, что и на самом деле стала самой настоящей звездой.",https://w4.kpfr.wiki/film/300/,https://www.kinopoisk.ru/film/300/,https://kinopoiskapiunofficial.tech/images/posters/kp/300.jpg
301,FILM,Матрица,1999.0,"['США', 'Австралия']","['фантастика', 'боевик']",8.5,8.7,r,age18,"Жизнь Томаса Андерсона разделена на две части: днём он — самый обычный офисный работник, получающий нагоняи от начальства, а ночью превращается в хакера по имени Нео, и нет места в сети, куда он бы не смог проникнуть. Но однажды всё меняется. Томас узнаёт ужасающую правду о реальности.",https://w4.kpfr.wiki/film/301/,https://www.kinopoisk.ru/film/301/,https://kinopoiskapiunofficial.tech/images/posters/kp/301.jpg
302,FILM,Клад,2003.0,['США'],"['драма', 'детектив', 'приключения', 'комедия', 'семейный']",7.2,7.0,pg,age12,"Стэнли арестован по ложному обвинению в краже кроссовок и отправлен в трудовой лагерь, расположенный в техасской пустыне. Воспитатели «закаляют характер» подростков странным наказанием. Ребята копают ямы в иссушенной земле, но не знают, что их на самом деле используют для раскопок таинственного клада. Однако Стэнли удается раскрыть загадочную связь между сокровищами и проклятием, тяготеющим долгие годы над его семьей…",https://w4.kpfr.wiki/film/302/,https://www.kinopoisk.ru/film/302/,https://kinopoiskapiunofficial.tech/images/posters/kp/302.jpg
303,FILM,Управление гневом,2003.0,['США'],"['мелодрама', 'комедия']",7.1,6.2,r,age18,"Скромному клерку отчаянно не везет. Парня по обвинению в нападении на бортпроводницу приговаривают к лечению у психиатра. Но верно говорят, что большинство психиатров сами немного безумны. Или сильно не в себе...",https://w4.kpfr.wiki/film/303/,https://www.kinopoisk.ru/film/303/,https://kinopoiskapiunofficial.tech/images/posters/kp/303.jpg
304,FILM,Афера,2003.0,"['США', 'Германия', 'Канада']","['триллер', 'криминал']",7.0,6.6,r,age18,"Джейк Вига – хитроумный и обаятельный мошенник. Последняя афера Джейка привела к тому, что его дорожки пересеклись с мафией – при помощи своей команды он лишил нескольких тысяч долларов Лайонела Долби, – счетовода эксцентричного мафиозного босса Уинстона Кинга по прозвищу «Король».

Мафия шутить не любит, а любит выбивать долги из тех, кто пытается ее надуть. Чтобы сохранить жизнь и расквитаться с долгами, Джейку приходится устроить новую, еще более изощренную аферу – сложнейшую схему, в которой требуется «творческий подход к бухгалтерии».

Неожиданные помехи появляются одна за другой: палки в колеса Джейку вставляют его старый враг, агент ФБР Гюнтер Бутан, Трэвис, правая рука «Короля» и хитроумная карманщица Лили на которую Джейк успел положить глаз...",https://w4.kpfr.wiki/film/304/,https://www.kinopoisk.ru/film/304/,https://kinopoiskapiunofficial.tech/images/posters/kp/304.jpg
305,FILM,Телефонная будка,2002.0,['США'],"['триллер', 'криминал']",7.6,7.1,r,age18,"Один телефонный звонок может изменить всю жизнь человека или даже оборвать ее. Герой фильма Стью Шеферд становится пленником телефонной будки.

Что вы сделаете, если услышите, как в телефонной будке зазвонил телефон? Скорее всего, инстинктивно поднимете трубку, хотя прекрасно знаете, что кто-то просто ошибся номером. Вот и Стью кажется, что на звонок надо обязательно ответить, а в результате он оказывается втянутым в чудовищную игру. «Только положи трубку, и ты – труп», – говорит ему невидимый собеседник.",https://w4.kpfr.wiki/film/305/,https://www.kinopoisk.ru/film/305/,https://kinopoiskapiunofficial.tech/images/posters/kp/305.jpg
306,FILM,Рекрут,2003.0,"['США', 'Швейцария']","['триллер', 'боевик']",7.3,6.6,pg13,age18,"Джеймс Клэйтон - студент и опытный хакер. Он привлекает внимание спецслужб, и его вербуют в ЦРУ, упоминая таинственное исчезновение его отца в 90-х. Джеймс обучается у Уолтера Бёрка. Он отлично сдает все тесты, кроме последнего. Так он становится агентом без прикрытия и получает задание: найти «крота», который похищает опасный вирус из Лэнгли.",https://w4.kpfr.wiki/film/306/,https://www.kinopoisk.ru/film/306/,https://kinopoiskapiunofficial.tech/images/posters/kp/306.jpg
307,FILM,Разыскиваются в Малибу,2003.0,['США'],"['криминал', 'комедия']",5.7,5.2,pg13,age12,"Не стоит ненавидеть его за то, кем он является. Или кем он не является. Все, чем хочет заниматься Брэд - или Би-рэд - разъезжать со своими дружками по Малибу и вести себя, как самый крутой черный рэппер в округе.

Но все вокруг знают, что паренек, лихо читающий рэп, родом из респектабельного квартала Малибу. И отец Брэда, Билл Глакман, кандидат в губернаторы, серьезно боится, что увлечение Би-рэда «черной» культурой может разнести в пух и прах его предвыборную кампанию.",https://w4.kpfr.wiki/film/307/,https://www.kinopoisk.ru/film/307/,https://kinopoiskapiunofficial.tech/images/posters/kp/307.jpg
